Date,Day,Auto,Trailer,Bus,Truck,RV/Limo,US Bound,,,,,,,,,,,,,,,,,
1/1/20,Wednesday,"6,220",0,21,182,4,"7,377",,"3,211",0,12,182,2,"3,517",,287,330,,"2,722",0,9,0,2,"3,530"
1/2/20,Thursday,"7,626",0,11,737,4,"9,331",,"3,955",0,3,737,3,"4,652",,597,983,,"3,074",0,8,0,1,"3,696"
1/3/20,Friday,"8,185",0,14,1186,5,"8,428",,"4,151",0,2,1181,4,"3,995",,694,861,,"3,340",0,12,5,1,"3,572"
1/4/20,Saturday,"8,103",0,13,454,5,"7,744",,"4,354",0,6,454,4,"3,877",,583,721,,"3,166",0,7,0,1,"3,146"
1/5/20,Sunday,"6,901",0,10,236,1,"7,037",,"4,072",0,6,236,1,"3,586",,420,512,,"2,409",0,4,0,0,"2,939"
1/6/20,Monday,"4,486",0,16,1053,6,"5,369",,"2,439",0,2,1053,6,"3,101",,432,477,,"1,615",0,14,0,0,"1,791"
1/7/20,Tuesday,"3,919",0,3,1265,8,"5,252",,"1,966",0,2,"1,264",8,"2,957",,388,488,,"1,565",0,1,1,0,"1,807"
1/8/20,Wednesday,"4,095",0,8,1339,2,"5,177",,"2,032",0,5,"1,338",2,"2,880",,469,543,,"1,594",0,3,1,0,"1,754"
1/9/20,Thursday,"4,615",0,13,1317,1,"5,912",,"2,360",0,5,"1,317",1,"3,242",,495,608,,"1,760",0,8,0,0,"2,062"
1/10/20,Friday,"5,986",0,8,1386,7,"6,676",,"3,004",0,3,"1,385",4,"3,460",,611,746,,"2,371",0,5,1,3,"2,470"
1/11/20,Saturday,"6,381",0,7,476,3,"6,725",,"3,190",0,5,476,3,"3,138",,544,690,,"2,647",0,2,0,0,"2,897"
1/12/20,Sunday,"5,091",0,8,208,2,"6,612",,"2,604",0,4,208,2,"3,172",,428,501,,"2,059",0,4,0,0,"2,939"
1/13/20,Monday,"4,239",0,9,1093,1,"5,513",,"2,202",0,3,"1,093",1,"3,137",,435,489,,"1,602",0,6,0,0,"1,887"
1/14/20,Tuesday,"4,027",0,6,1353,3,"5,585",,"2,037",0,4,"1,352",3,"3,214",,444,557,,"1,546",0,2,1,0,"1,814"
1/15/20,Wednesday,"4,143",0,5,1404,4,"5,457",,"2,127",0,1,"1,404",3,"3,124",,462,535,,"1,554",0,4,0,1,"1,798"
1/16/20,Thursday,"4,259",0,10,1358,6,"5,928",,"2,235",0,3,1357,5,"3,533",,444,559,,"1,580",0,7,1,1,"1,836"
1/17/20,Friday,"7,409",0,15,1453,5,"7,593",,"3,850",0,4,1453,5,"3,825",,641,752,,"2,918",0,11,0,0,"3,016"
