Month,Day,Day of Week,Auto,Bus,Truck,RV/Limo,Total Vehicles,,,,,,,,,,,,,,,,,,
January,1,Wednesday,"6,220",21,182,4,"6,427",,,,,,,,,,,,,,,,,,
January,2,Thursday,"7,626",11,737,4,"8,378",,,,,,,,,,,,,,,,,,
January,3,Friday,"8,185",14,1186,5,"9,390",,,,,,,,,,,,,,,,,,
January,4,Saturday,"8,103",13,454,5,"8,575",,,,,,,,,,,,,,,,,,
January,5,Sunday,"6,901",10,236,1,"7,148",,,,,,,,,,,,,,,,,,
January,6,Monday,"4,486",16,1053,6,"5,561",,,,,,,,,,,,,,,,,,
January,7,Tuesday,"3,919",3,1265,8,"5,195",,,,,,,,,,,,,,,,,,
January,8,Wednesday,"4,095",8,1339,2,"5,444",,,,,,,,,,,,,,,,,,
January,9,Thursday,"4,615",13,1317,1,"5,946",,,,,,,,,,,,,,,,,,
January,10,Friday,"5,986",8,1386,7,"7,387",,,,,,,,,,,,,,,,,,
January,11,Saturday,"6,381",7,476,3,"6,867",,,,,,,,,,,,,,,,,,
January,12,Sunday,"5,091",8,208,2,"5,309",,,,,,,,,,,,,,,,,,
January,13,Monday,"4,239",9,1093,1,"5,342",,,,,,,,,,,,,,,,,,
January,14,Tuesday,"4,027",6,1353,3,"5,389",,,,,,,,,,,,,,,,,,
January,15,Wednesday,"4,143",5,1404,4,"5,556",,,,,,,,,,,,,,,,,,
January,16,Thursday,"4,259",10,1358,6,"5,633",,,,,,,,,,,,,,,,,,
January,17,Friday,"7,409",15,1453,5,"8,882",,,,,,,,,,,,,,,,,,
January,18,Saturday,"5,000",9,419,2,"5,430",,,,,,,,,,,,,,,,,,
January,19,Sunday,"5,620",9,204,6,"5,839",,,,,,,,,,,,,,,,,,
January,20,Monday,"4,553",17,977,6,"5,553",,,,,,,,,,,,,,,,,,
January,21,Tuesday,"3,975",10,1325,3,"5,313",,,,,,,,,,,,,,,,,,
January,22,Wednesday,"4,047",6,1428,3,"5,484",,,,,,,,,,,,,,,,,,
January,23,Thursday,"4,508",13,1394,3,"5,918",,,,,,,,,,,,,,,,,,
January,24,Friday,"6,565",11,1386,5,"7,967",,,,,,,,,,,,,,,,,,
January,25,Saturday,"7,352",14,478,6,"7,850",,,,,,,,,,,,,,,,,,
January,26,Sunday,"6,624",16,201,5,"6,846",,,,,,,,,,,,,,,,,,
January,27,Monday,"4,157",16,1105,2,"5,280",,,,,,,,,,,,,,,,,,
January,28,Tuesday,"3,825",6,1393,1,"5,225",,,,,,,,,,,,,,,,,,
January,29,Wednesday,"4,194",10,1399,2,"5,605",,,,,,,,,,,,,,,,,,
January,30,Thursday,"4,847",12,1385,9,"6,253",,,,,,,,,,,,,,,,,,
January,31,Friday,"6,374",12,1403,6,"7,795",,,,,,,,,,,,,,,,,,
February,1,Saturday,"7,432",9,486,3,"7,930",,,,,,,,,,,,,,,,,,
February,2,Sunday,"5,098",6,225,4,"5,333",,,,,,,,,,,,,,,,,,
February,3,Monday,"4,590",11,1074,2,"5,677",,,,,,,,,,,,,,,,,,
February,4,Tuesday,"3,828",5,1368,4,"5,205",,,,,,,,,,,,,,,,,,
February,5,Wednesday,"4,134",5,1397,4,"5,540",,,,,,,,,,,,,,,,,,
February,6,Thursday,"3,588",13,1302,1,"4,904",,,,,,,,,,,,,,,,,,
February,7,Friday,"4,995",19,1275,5,"6,294",,,,,,,,,,,,,,,,,,
February,8,Saturday,"7,091",10,494,3,"7,598",,,,,,,,,,,,,,,,,,
February,9,Sunday,"5,821",13,235,4,"6,073",,,,,,,,,,,,,,,,,,
February,10,Monday,"4,228",13,1088,3,"5,332",,,,,,,,,,,,,,,,,,
February,11,Tuesday,"4,016",4,1327,2,"5,349",,,,,,,,,,,,,,,,,,
February,12,Wednesday,"4,470",7,1397,2,"5,876",,,,,,,,,,,,,,,,,,
February,13,Thursday,"4,327",11,1332,3,"5,673",,,,,,,,,,,,,,,,,,
February,14,Friday,"7,977",17,1359,6,"9,359",,,,,,,,,,,,,,,,,,
February,15,Saturday,"9,691",22,489,4,"10,206",,,,,,,,,,,,,,,,,,
February,16,Sunday,"9,286",22,207,6,"9,521",,,,,,,,,,,,,,,,,,
February,17,Monday,"11,254",37,785,4,"12,080",,,,,,,,,,,,,,,,,,
February,18,Tuesday,"5,236",9,1254,3,"6,502",,,,,,,,,,,,,,,,,,
February,19,Wednesday,"5,324",12,1372,8,"6,716",,,,,,,,,,,,,,,,,,
February,20,Thursday,"5,527",14,1354,4,"6,899",,,,,,,,,,,,,,,,,,
February,21,Friday,"7,395",21,1415,6,"8,837",,,,,,,,,,,,,,,,,,
February,22,Saturday,"7,945",18,506,2,"8,471",,,,,,,,,,,,,,,,,,
February,23,Sunday,"7,420",8,229,4,"7,661",,,,,,,,,,,,,,,,,,
February,24,Monday,"4,610",12,1095,2,"5,719",,,,,,,,,,,,,,,,,,
February,25,Tuesday,"4,375",6,1448,3,"5,832",,,,,,,,,,,,,,,,,,
February,26,Wednesday,"3,624",10,1364,6,"5,004",,,,,,,,,,,,,,,,,,
February,27,Thursday,"3,489",5,1231,1,"4,726",,,,,,,,,,,,,,,,,,
February,28,Friday,"5,849",14,1311,6,"7,180",,,,,,,,,,,,,,,,,,
February,29,Saturday,"7,571",11,512,3,"8,097",,,,,,,,,,,,,,,,,,
March,1,Sunday,"6,391",19,269,0,"6,679",,,,,,,,,,,,,,,,,,
March,2,Monday,"4,525",7,1129,2,"5,663",,,,,,,,,,,,,,,,,,
March,3,Tuesday,"4,041",5,1398,2,"5,446",,,,,,,,,,,,,,,,,,
March,4,Wednesday,"4,568",2,1442,1,"6,013",,,,,,,,,,,,,,,,,,
March,5,Thursday,"5,214",8,1401,3,"6,626",,,,,,,,,,,,,,,,,,
March,6,Friday,"6,105",5,1396,2,"7,508",,,,,,,,,,,,,,,,,,
March,7,Saturday,"8,225",15,586,1,"8,827",,,,,,,,,,,,,,,,,,
March,8,Sunday,"6,671",10,255,3,"6,939",,,,,,,,,,,,,,,,,,
March,9,Monday,"4,739",10,1131,2,"5,882",,,,,,,,,,,,,,,,,,
March,10,Tuesday,"3,927",7,1376,2,"5,312",,,,,,,,,,,,,,,,,,
March,11,Wednesday,"4,340",6,1443,5,"5,794",,,,,,,,,,,,,,,,,,
March,12,Thursday,"4,439",7,1410,3,"5,859",,,,,,,,,,,,,,,,,,
March,13,Friday,"5,155",5,1386,6,"6,552",,,,,,,,,,,,,,,,,,
March,14,Saturday,"4,488",6,533,5,"5,032",,,,,,,,,,,,,,,,,,
