Date,Day,Auto,Trailer,Bus,Truck,RV/Limo,US Bound
1/1/20,Wednesday,"3,211",0,12,182,2,"3,517"
1/2/20,Thursday,"3,955",0,3,737,3,"4,652"
1/3/20,Friday,"4,151",0,2,1181,4,"3,995"
1/4/20,Saturday,"4,354",0,6,454,4,"3,877"
1/5/20,Sunday,"4,072",0,6,236,1,"3,586"
1/6/20,Monday,"2,439",0,2,1053,6,"3,101"
1/7/20,Tuesday,"1,966",0,2,"1,264",8,"2,957"
1/8/20,Wednesday,"2,032",0,5,"1,338",2,"2,880"
1/9/20,Thursday,"2,360",0,5,"1,317",1,"3,242"
1/10/20,Friday,"3,004",0,3,"1,385",4,"3,460"
1/11/20,Saturday,"3,190",0,5,476,3,"3,138"
1/12/20,Sunday,"2,604",0,4,208,2,"3,172"
1/13/20,Monday,"2,202",0,3,"1,093",1,"3,137"
1/14/20,Tuesday,"2,037",0,4,"1,352",3,"3,214"
1/15/20,Wednesday,"2,127",0,1,"1,404",3,"3,124"
1/16/20,Thursday,"2,235",0,3,1357,5,"3,533"
1/17/20,Friday,"3,850",0,4,1453,5,"3,825"
1/18/20,Saturday,"2,455",0,4,419,1,"2,128"
1/19/20,Sunday,"2,919",0,5,202,4,"3,308"
1/20/20,Monday,"2,356",0,6,977,5,"3,841"
1/21/20,Tuesday,"2,032",0,3,1325,3,"3,083"
1/22/20,Wednesday,"1,998",0,1,1428,2,"3,046"
1/23/20,Thursday,"2,359",0,2,1392,2,"3,488"
1/24/20,Friday,"3,354",0,3,1384,5,"4,080"
1/25/20,Saturday,"3,701",0,7,476,4,"3,472"
1/26/20,Sunday,"3,564",0,8,201,3,"3,684"
1/27/20,Monday,"2,119",0,4,1105,2,"3,194"
1/28/20,Tuesday,"1,933",0,0,1393,1,"3,057"
1/29/20,Wednesday,"2,125",0,3,1397,2,"3,199"
1/30/20,Thursday,"2,518",0,4,1384,9,"3,774"
1/31/20,Friday,"3,277",0,1,1403,4,"3,665"
2/1/20,Saturday,"3,898",0,3,484,3,"3,604"
2/2/20,Sunday,"2,923",0,2,225,3,"3,280"
2/3/20,Monday,"2,397",0,5,1073,2,"3,190"
2/4/20,Tuesday,"1,914",0,2,1366,3,"3,024"
2/5/20,Wednesday,"2,118",0,1,1397,4,"3,171"
2/6/20,Thursday,"1,773",0,5,1302,1,"2,908"
2/7/20,Friday,"2,533",0,6,"1,275",4,"3,320"
2/8/20,Saturday,"3,686",0,4,493,2,"3,662"
2/9/20,Sunday,"3,230",0,6,235,1,"3,574"
2/10/20,Monday,"2,230",0,4,"1,088",3,"3,090"
2/11/20,Tuesday,"2,102",0,1,1327,2,"3,057"
2/12/20,Wednesday,"2,299",0,2,1395,2,"3,335"
2/13/20,Thursday,"2,253",0,8,"1,331",3,"3,428"
2/14/20,Friday,"4,121",0,5,"1,357",5,"4,357"
2/15/20,Saturday,"5,046",0,18,488,4,"4,284"
2/16/20,Sunday,"4,849",0,16,207,5,"5,435"
2/17/20,Monday,"6,452",0,11,785,1,"4,534"
2/18/20,Tuesday,"2,656",0,5,"1,254",3,"3,284"
2/19/20,Wednesday,"2,607",0,6,1371,6,"3,494"
2/20/20,Thursday,"2,763",0,4,1354,4,"3,705"
2/21/20,Friday,"3,709",0,5,1415,5,"4,402"
2/22/20,Saturday,"3,989",0,7,505,2,"4,217"
2/23/20,Sunday,"4,004",0,4,229,3,"4,739"
2/24/20,Monday,"2,390",0,4,1095,2,"3,422"
2/25/20,Tuesday,"2,287",0,2,1448,3,"3,335"
2/26/20,Wednesday,"1,801",0,2,1362,4,"2,901"
2/27/20,Thursday,"1,902",0,0,1230,1,"2,976"
2/28/20,Friday,"3,067",0,4,1310,5,"3,498"
2/29/20,Saturday,"3,869",0,3,511,3,"3,701"
3/1/20,Sunday,"3,602",0,8,269,0,"3,368"
3/2/20,Monday,"2,458",0,4,"1,129",1,"3,293"
3/3/20,Tuesday,"2,135",0,1,1398,2,"3,103"
3/4/20,Wednesday,"2,368",0,1,1441,1,"3,321"
3/5/20,Thursday,"2,744",0,3,1401,2,"3,839"
3/6/20,Friday,"3,122",0,2,1395,1,"3,462"
3/7/20,Saturday,"4,043",0,11,586,1,"3,712"
3/8/20,Sunday,"3,590",0,6,255,2,"3,732"
3/9/20,Monday,"2,474",0,2,"1,131",0,"3,394"
3/10/20,Tuesday,"2,034",0,2,"1,375",1,"3,107"
3/11/20,Wednesday,"2,193",0,2,1443,5,"3,386"
3/12/20,Thursday,"2,372",0,2,1409,1,"3,507"
3/13/20,Friday,"2,790",0,1,"1,386",5,"3,214"
3/14/20,Saturday,"2,430",0,1,533,3,"2,224"
3/15/20,Sunday,"1,811",0,0,237,3,"2,322"
3/16/20,Monday,"1,757",0,1,1106,5,"2,414"
3/17/20,Tuesday,"1,468",0,3,1373,4,"2,204"
3/18/20,Wednesday,"1,246",0,0,"1,432",5,"1,997"
3/19/20,Thursday,"1,034",0,0,1339,1,"1,660"
3/20/20,Friday,"1,130",0,1,1349,16,"1,410"
3/21/20,Saturday,554,0,0,499,3,395
3/22/20,Sunday,398,0,0,210,6,711
3/23/20,Monday,333,0,0,919,5,"1,134"
3/24/20,Tuesday,303,0,0,1190,3,"1,250"
3/25/20,Wednesday,273,0,0,1243,2,"1,186"
3/26/20,Thursday,238,0,0,1153,5,"1,168"
3/27/20,Friday,233,0,0,1167,3,767
3/28/20,Saturday,119,0,0,387,2,225
3/29/20,Sunday,99,0,0,165,2,631
3/30/20,Monday,156,0,0,900,3,"1,036"
3/31/20,Tuesday,200,0,0,1050,1,"1,140"
4/1/20,Wednesday,156,0,1,1090,2,"1,059"
4/2/20,Thursday,187,0,0,"1,027",2,"1,116"
4/3/20,Friday,176,0,0,1114,2,690
4/4/20,Saturday,97,0,0,345,1,221
4/5/20,Sunday,73,0,0,165,0,617
4/6/20,Monday,141,0,0,870,1,"1,034"
4/7/20,Tuesday,143,0,0,"1,081",2,"1,163"
4/8/20,Wednesday,153,0,0,"1,132",1,"1,063"
4/9/20,Thursday,144,0,0,"1,090",1,889
