Date,Day,Auto,Trailer,Bus,Truck,RV/Limo,US Bound
1/1/2020,Wednesday,"2,722",0,9,0,2,"3,530"
1/2/2020,Thursday,"3,074",0,8,0,1,"3,696"
1/3/2020,Friday,"3,340",0,12,5,1,"3,572"
1/4/2020,Saturday,"3,166",0,7,0,1,"3,146"
1/5/2020,Sunday,"2,409",0,4,0,0,"2,939"
1/6/2020,Monday,"1,615",0,14,0,0,"1,791"
1/7/2020,Tuesday,"1,565",0,1,1,0,"1,807"
1/8/2020,Wednesday,"1,594",0,3,1,0,"1,754"
1/9/2020,Thursday,"1,760",0,8,0,0,"2,062"
1/10/2020,Friday,"2,371",0,5,1,3,"2,470"
1/11/2020,Saturday,"2,647",0,2,0,0,"2,897"
1/12/2020,Sunday,"2,059",0,4,0,0,"2,939"
1/13/2020,Monday,"1,602",0,6,0,0,"1,887"
1/14/2020,Tuesday,"1,546",0,2,1,0,"1,814"
1/15/2020,Wednesday,"1,554",0,4,0,1,"1,798"
1/16/2020,Thursday,"1,580",0,7,1,1,"1,836"
1/17/2020,Friday,"2,918",0,11,0,0,"3,016"
1/18/2020,Saturday,"2,234",0,5,0,1,"2,201"
1/19/2020,Sunday,"2,359",0,4,2,2,"2,588"
1/20/2020,Monday,"1,810",0,11,0,1,"2,912"
1/21/2020,Tuesday,"1,506",0,7,0,0,"1,807"
1/22/2020,Wednesday,"1,589",0,5,0,1,"1,731"
1/23/2020,Thursday,"1,673",0,11,2,1,"2,216"
1/24/2020,Friday,"2,604",0,8,2,0,"2,873"
1/25/2020,Saturday,"3,028",0,7,2,2,"3,351"
1/26/2020,Sunday,"2,613",0,8,0,2,"2,912"
1/27/2020,Monday,"1,604",0,12,0,0,"1,785"
1/28/2020,Tuesday,"1,488",0,6,0,0,"1,699"
1/29/2020,Wednesday,"1,620",0,7,2,0,"1,810"
1/30/2020,Thursday,"1,846",0,8,1,0,"2,202"
1/31/2020,Friday,"2,517",0,11,0,1,"2,779"
2/1/2020,Saturday,"2,951",0,6,2,0,3347
2/2/2020,Sunday,"1,815",0,4,0,1,"2,273"
2/3/2020,Monday,"1,704",0,6,1,0,"1,880"
2/4/2020,Tuesday,"1,495",0,3,2,1,"1,737"
2/5/2020,Wednesday,"1,566",0,4,0,0,"1,827"
2/6/2020,Thursday,"1,448",0,8,0,0,"1,736"
2/7/2020,Friday,"2,050",0,13,0,1,"2,298"
2/8/2020,Saturday,"2,824",0,6,1,1,"2,950"
2/9/2020,Sunday,2187,0,7,0,3,"2,563"
2/10/2020,Monday,"1,577",0,9,0,0,"1,802"
2/11/2020,Tuesday,"1,497",0,3,0,0,"1,752"
2/12/2020,Wednesday,"1,651",0,5,2,0,"1,958"
2/13/2020,Thursday,"1,660",0,3,1,0,"1,921"
2/14/2020,Friday,"3,292",0,12,2,1,"3,736"
2/15/2020,Saturday,"4,040",0,4,1,0,"5,135"
2/16/2020,Sunday,"3,928",0,6,0,1,"4,687"
2/17/2020,Monday,"3,999",0,26,0,3,"3,496"
2/18/2020,Tuesday,"2,163",0,4,0,0,"2,263"
2/19/2020,Wednesday,"2,183",0,6,1,2,"2,429"
2/20/2020,Thursday,"2,270",0,10,0,0,"2,783"
2/21/2020,Friday,"3,057",0,16,0,1,"3,740"
2/22/2020,Saturday,"3,363",0,11,1,0,"3,887"
2/23/2020,Sunday,"2,944",0,4,0,1,"3,339"
2/24/2020,Monday,"1,766",0,8,0,0,"2,114"
2/25/2020,Tuesday,"1,644",0,4,0,0,"1,810"
2/26/2020,Wednesday,"1,421",0,8,2,2,"1,688"
2/27/2020,Thursday,"1,291",0,5,1,0,"1,549"
2/28/2020,Friday,"2,269",0,10,1,1,"2,627"
2/29/2020,Saturday,"3,139",0,8,1,0,"3,398"
3/1/2020,Sunday,"2,346",0,11,0,0,"2,985"
