Date,Day,Auto,Trailer,Bus,Truck,RV/Limo,US Bound
1/1/20,Wednesday,287,0,0,0,0,330
1/2/20,Thursday,597,0,0,0,0,983
1/3/20,Friday,694,0,0,0,0,861
1/4/20,Saturday,583,0,0,0,0,721
1/5/20,Sunday,420,0,0,0,0,512
1/6/20,Monday,432,0,0,0,0,477
1/7/20,Tuesday,388,0,0,0,0,488
1/8/20,Wednesday,469,0,0,0,0,543
1/9/20,Thursday,495,0,0,0,0,608
1/10/20,Friday,611,0,0,0,0,746
1/11/20,Saturday,544,0,0,0,0,690
1/12/20,Sunday,428,0,0,0,0,501
1/13/20,Monday,435,0,0,0,0,489
1/14/20,Tuesday,444,0,0,0,0,557
1/15/20,Wednesday,462,0,0,0,0,535
1/16/20,Thursday,444,0,0,0,0,559
1/17/20,Friday,641,0,0,0,0,752
1/18/20,Saturday,311,0,0,0,0,374
1/19/20,Sunday,342,0,0,0,0,380
1/20/20,Monday,387,0,0,0,0,502
1/21/20,Tuesday,437,0,0,0,0,528
1/22/20,Wednesday,460,0,0,0,0,525
1/23/20,Thursday,476,0,0,0,0,587
1/24/20,Friday,607,0,0,0,0,738
1/25/20,Saturday,623,0,0,0,0,772
1/26/20,Sunday,447,0,0,0,0,544
1/27/20,Monday,434,0,0,0,0,523
1/28/20,Tuesday,404,0,0,0,0,479
1/29/20,Wednesday,449,0,0,0,0,520
1/30/20,Thursday,483,0,0,0,0,610
1/31/20,Friday,580,0,0,0,1,719
2/1/20,Saturday,583,0,0,0,0,751
2/2/20,Sunday,360,0,0,0,0,458
2/3/20,Monday,489,0,0,0,0,310
2/4/20,Tuesday,419,0,0,0,0,484
2/5/20,Wednesday,450,0,0,0,0,536
2/6/20,Thursday,367,0,0,0,0,449
2/7/20,Friday,412,0,0,0,0,506
2/8/20,Saturday,581,0,0,0,0,724
2/9/20,Sunday,404,0,0,0,0,523
2/10/20,Monday,421,0,0,0,0,512
2/11/20,Tuesday,417,0,0,0,0,511
2/12/20,Wednesday,520,0,0,0,0,606
2/13/20,Thursday,414,0,0,0,0,522
2/14/20,Friday,564,0,0,0,0,759
2/15/20,Saturday,605,0,0,0,0,1012
2/16/20,Sunday,509,0,0,0,0,957
2/17/20,Monday,803,0,0,0,0,851
2/18/20,Tuesday,417,0,0,0,0,499
2/19/20,Wednesday,534,0,0,0,0,608
2/20/20,Thursday,494,0,0,0,0,584
2/21/20,Friday,629,0,0,0,0,809
2/22/20,Saturday,593,0,0,0,0,918
2/23/20,Sunday,472,0,0,0,0,684
2/24/20,Monday,454,0,0,0,0,546
2/25/20,Tuesday,444,0,0,0,0,525
2/26/20,Wednesday,402,0,0,0,0,444
2/27/20,Thursday,296,0,0,0,0,385
2/28/20,Friday,513,0,0,0,0,673
2/29/20,Saturday,563,0,0,0,0,689
3/1/20,Sunday,443,0,0,0,0,590
3/2/20,Monday,428,0,0,0,0,487
3/3/20,Tuesday,395,0,0,0,0,472
3/4/20,Wednesday,469,0,0,0,0,561
3/5/20,Thursday,505,0,0,0,0,674
3/6/20,Friday,547,0,0,0,0,661
3/7/20,Saturday,664,0,0,0,0,877
3/8/20,Sunday,442,0,0,0,0,591
3/9/20,Monday,452,0,0,0,0,553
3/10/20,Tuesday,381,0,0,0,0,465
3/11/20,Wednesday,441,0,0,0,0,555
3/12/20,Thursday,427,0,0,0,0,543
3/13/20,Friday,488,0,0,0,0,610
3/14/20,Saturday,369,0,0,0,0,451
3/15/20,Sunday,232,0,0,0,0,270
3/16/20,Monday,270,0,0,0,0,314
3/17/20,Tuesday,193,0,0,0,0,196
3/18/20,Wednesday,188,0,0,0,0,177
3/19/20,Thursday,126,0,0,0,0,133
3/20/20,Friday,131,0,0,0,0,137
3/21/20,Saturday,57,0,0,0,0,31
3/22/20,Sunday,30,0,0,0,0,21
3/23/20,Monday,50,0,0,0,0,52
3/24/20,Tuesday,49,0,0,0,0,42
3/25/20,Wednesday,39,0,0,0,0,35
3/26/20,Thursday,40,0,0,0,0,39
3/27/20,Friday,45,0,0,0,0,38
3/28/20,Saturday,17,0,0,0,0,20
3/29/20,Sunday,17,0,0,0,0,18
3/30/20,Monday,39,0,0,0,0,37
3/31/20,Tuesday,40,0,0,0,0,36
4/1/20,Wednesday,40,0,0,0,0,33
4/2/20,Thursday,37,0,0,0,0,30
4/3/20,Friday,51,0,0,0,0,40
4/4/20,Saturday,16,0,0,0,0,18
4/5/20,Sunday,7,0,0,0,0,15
4/6/20,Monday,45,0,0,0,0,39
4/7/20,Tuesday,43,0,0,0,0,37
4/8/20,Wednesday,44,0,0,0,0,33
4/9/20,Thursday,43,0,0,0,0,39
4/10/20,Friday,35,0,0,0,0,26
4/11/20,Saturday,24,0,0,0,0,18
4/12/20,Sunday,11,0,0,0,0,16
4/13/20,Monday,36,0,0,0,0,27
4/14/20,Tuesday,38,0,0,0,0,35
4/15/20,Wednesday,40,0,0,0,0,26
4/16/20,Thursday,36,0,0,0,0,32
4/17/20,Friday,48,0,0,0,0,38
4/18/20,Saturday,23,0,0,0,0,23
4/19/20,Sunday,9,0,0,0,0,8
4/20/20,Monday,42,0,0,0,0,32
4/21/20,Tuesday,48,0,0,0,0,35
